experiment,model,fold,train_auc,test_auc,best_params,rfs_year,model_type
RFS 1 year - RNA-seq,LR_C=0.001,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.001,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.01,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,1,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,2,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=0.1,3,0.5,0.5,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,1,0.9134615384615384,0.2051282051282051,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,2,0.9733333333333334,0.13095238095238096,{},1,lr
RFS 1 year - RNA-seq,LR_C=1,3,0.8953846153846154,0.125,{},1,lr
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,1,0.9455128205128205,0.34615384615384615,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,2,0.9666666666666668,0.23809523809523808,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=5,3,0.9384615384615385,0.18055555555555552,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,1,0.8237179487179488,0.37179487179487175,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,2,0.7899999999999999,0.45238095238095233,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=10,3,0.8492307692307692,0.2013888888888889,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,1,0.5993589743589743,0.43589743589743585,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,2,0.49,0.7321428571428572,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=2_min_samples_leaf=15,3,0.6461538461538461,0.33333333333333337,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,1,0.9519230769230769,0.34615384615384615,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,2,0.9766666666666667,0.22619047619047616,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=5,3,0.96,0.15277777777777776,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,1,0.8237179487179488,0.37179487179487175,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,2,0.7899999999999999,0.45238095238095233,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=10,3,0.8492307692307692,0.2013888888888889,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,1,0.5993589743589743,0.43589743589743585,{},1,rf
RFS 1 year - RNA-seq,RF_max_depth=4_min_samples_leaf=15,2,0.49,0.7321428571428572,{},1,rf
